URL	Prompt	Question	Option A	Option B	Option C	Option D	Correct Answer
https://attack.mitre.org/techniques/T0848	For the given question: What is a primary purpose of setting up a rogue master in an ICS environment?, and four options: A) Sending legitimate control messages to devices, B) Intercepting internal communications, C) Encrypting network traffic, or D) Creating network segmentation, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a primary purpose of setting up a rogue master in an ICS environment?	Sending legitimate control messages to devices	Intercepting internal communications	Encrypting network traffic	Creating network segmentation	A
https://attack.mitre.org/techniques/T0848	For the given question: Which incident involved adversaries using a rogue master to control emergency systems?, and four options: A) Maroochy Water Breach, B) 2017 Dallas Siren incident, C) Stuxnet Attack, or D) BlackEnergy Attack, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which incident involved adversaries using a rogue master to control emergency systems?	Maroochy Water Breach	2017 Dallas Siren incident	Stuxnet Attack	BlackEnergy Attack	B
https://attack.mitre.org/techniques/T0848	For the given question: What mitigation strategy helps ensure authenticity of control functions?, and four options: A) Network segmentation, B) Network allowlists, C) Communication authenticity, or D) Filtering network traffic, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What mitigation strategy helps ensure authenticity of control functions?	Network segmentation	Network allowlists	Communication authenticity	Filtering network traffic	C
https://attack.mitre.org/techniques/T0848	For the given question: How can adversaries avoid detection when using a rogue master?, and four options: A) Using strong encryption, B) Bypassing firewalls, C) Impersonating the actual master, or D) Hiding in network traffic, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	How can adversaries avoid detection when using a rogue master?	Using strong encryption	Bypassing firewalls	Impersonating the actual master	Hiding in network traffic	C
https://attack.mitre.org/techniques/T0848	For the given question: What monitoring practice helps detect new master devices communicating with outstations?, and four options: A) Reviewing application logs, B) Analyzing user behavior, C) Encrypting data traffic, or D) Using VPNs, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What monitoring practice helps detect new master devices communicating with outstations?	Reviewing application logs	Analyzing user behavior	Encrypting data traffic	Using VPNs	A
https://attack.mitre.org/techniques/T0848	For the given question: Which mitigation strategy involves creating strict isolation for critical control information?, and four options: A) Network allowlists, B) Filtering network traffic, C) Software process authentication, or D) Network segmentation, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which mitigation strategy involves creating strict isolation for critical control information?	Network allowlists	Filtering network traffic	Software process authentication	Network segmentation	D
https://attack.mitre.org/techniques/T0814	For the given question: Which of the following is a common example of a Denial-of-Service (DoS) attack?, and four options: A) Overwhelming a device with high volume requests, B) Using phishing to steal credentials, C) Installing ransomware on a system, or D) Encrypting files on a network, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following is a common example of a Denial-of-Service (DoS) attack?	Overwhelming a device with high volume requests	Using phishing to steal credentials	Installing ransomware on a system	Encrypting files on a network	A
https://attack.mitre.org/techniques/T0814	For the given question: What might make some ICS devices particularly sensitive to DoS attacks?, and four options: A) Simple ping sweeps, B) Complex encryption protocols, C) Strong password policies, or D) Regular software updates, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What might make some ICS devices particularly sensitive to DoS attacks?	Simple ping sweeps	Complex encryption protocols	Strong password policies	Regular software updates	A
https://attack.mitre.org/techniques/T0814	For the given question: How might an adversary execute a Permanent Denial-of-Service (PDoS) attack?, and four options: A) Bricking devices with firmware overwrites, B) Using social engineering tactics, C) Implementing multi-factor authentication, or D) Performing regular software backups, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	How might an adversary execute a Permanent Denial-of-Service (PDoS) attack?	Bricking devices with firmware overwrites	Using social engineering tactics	Implementing multi-factor authentication	Performing regular software backups	A
https://attack.mitre.org/techniques/T0814	For the given question: Which malware is known for exploiting the CVE-2015-5374 vulnerability to cause a Denial-of-Service?, and four options: A) Industroyer, B) PLC-Blaster, C) BrickerBot, or D) Backdoor.Oldrea, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which malware is known for exploiting the CVE-2015-5374 vulnerability to cause a Denial-of-Service?	Industroyer	PLC-Blaster	BrickerBot	Backdoor.Oldrea	A
https://attack.mitre.org/techniques/T0814	For the given question: What is a key method for detecting DoS attacks in network traffic?, and four options: A) Monitoring network traffic patterns, B) Implementing end-to-end encryption, C) Regularly updating antivirus software, or D) Using complex passwords, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What is a key method for detecting DoS attacks in network traffic?	Monitoring network traffic patterns	Implementing end-to-end encryption	Regularly updating antivirus software	Using complex passwords	A
https://attack.mitre.org/techniques/T0814	For the given question: In the 2015 Ukraine Electric Power Attack, what additional DoS tactic was used besides overwhelming phone lines?, and four options: A) Firmware overwrites on serial-to-ethernet converters, B) Using email phishing campaigns, C) Deploying ransomware, or D) Implementing SQL injection attacks, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	In the 2015 Ukraine Electric Power Attack, what additional DoS tactic was used besides overwhelming phone lines?	Firmware overwrites on serial-to-ethernet converters	Using email phishing campaigns	Deploying ransomware	Implementing SQL injection attacks	A
https://attack.mitre.org/techniques/T0816	For the given question: Which technique involves adversaries disrupting physical processes by restarting or shutting down devices?, and four options: A) Device Hijacking, B) Malware Installation, C) Device Restart/Shutdown, or D) Network Spoofing, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which technique involves adversaries disrupting physical processes by restarting or shutting down devices?	Device Hijacking	Malware Installation	Device Restart/Shutdown	Network Spoofing	C
https://attack.mitre.org/techniques/T0816	For the given question: What can be a sign of malicious device modifications in ICS environments?, and four options: A) Continuous Operation, B) Normal Shutdown, C) Device Restart, or D) Error-Free Logs, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	What can be a sign of malicious device modifications in ICS environments?	Continuous Operation	Normal Shutdown	Device Restart	Error-Free Logs	C
https://attack.mitre.org/techniques/T0816	For the given question: Which mitigation strategy involves using MAC functions or digital signatures?, and four options: A) Access Management, B) Authorization Enforcement, C) Communication Authenticity, or D) Network Allowlists, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which mitigation strategy involves using MAC functions or digital signatures?	Access Management	Authorization Enforcement	Communication Authenticity	Network Allowlists	C
https://attack.mitre.org/techniques/T0816	For the given question: Which protocol function can be disabled to prevent unauthorized device shutdowns?, and four options: A) DNP3 0x0D, B) HTTP GET, C) SMTP HELO, or D) FTP LIST, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which protocol function can be disabled to prevent unauthorized device shutdowns?	DNP3 0x0D	HTTP GET	SMTP HELO	FTP LIST	A
https://attack.mitre.org/techniques/T0816	For the given question: How did Industroyer exploit a vulnerability to impact Siemens SIPROTEC devices?, and four options: A) CVE-2014-9195, B) CVE-2015-5374, C) SQL Injection, or D) Buffer Overflow, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	How did Industroyer exploit a vulnerability to impact Siemens SIPROTEC devices?	CVE-2014-9195	CVE-2015-5374	SQL Injection	Buffer Overflow	B
https://attack.mitre.org/techniques/T0816	For the given question: Which method was used by Sandworm Team during the 2015 Ukraine Electric Power Attack to shutdown servers?, and four options: A) SQL Injection, B) UPS Management Interface, C) Network Sniffing, or D) Phishing, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which method was used by Sandworm Team during the 2015 Ukraine Electric Power Attack to shutdown servers?	SQL Injection	UPS Management Interface	Network Sniffing	Phishing	B
https://attack.mitre.org/techniques/T0847	For the given question: Which of the following describes the technique used by adversaries to access isolated systems through removable media?, and four options: A) Replication through network shares, B) Replication through removable media, C) Replication through email attachments, or D) Replication through cloud storage, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.	Which of the following describes the technique used by adversaries to access isolated systems through removable media?	Replication through network shares	Replication through removable media	Replication through email attachments	Replication through cloud storage	B
